name,sample,x,y,z,timestamp,00:0B:86:96:63:A0,00:0B:86:96:70:C2,00:11:32:9D:2B:30,00:11:32:9D:30:3A,00:11:32:AD:8C:82,00:11:32:AD:8E:B7,00:11:32:B6:7A:7F,00:1A:1E:F3:67:A0,04:8D:38:04:4E:86,0C:9D:92:02:8B:20,16:11:32:9D:2B:30,16:11:32:9D:30:3A,40:B0:76:34:03:48,44:A5:6E:41:9B:BA,6C:F3:7F:31:FA:22,B8:A3:86:57:17:67,DC:FB:02:61:9E:31
wlan1,2,4.76,2.74,1.01,1621511722.9649065,-71.0,-55.0,-41.0,-47.0,-41.0,-71.0,-69.0,-77.0,-63.0,-39.0,-41.0,-47.0,-61.0,-71.0,-77.0,-73.0,-67.0
wlan1,3,4.76,2.74,1.01,1621511727.4594212,-71.0,-55.0,-41.0,-45.0,-43.0,-57.0,-69.0,-79.0,-53.0,-39.0,-41.0,-47.0,-89.0,-61.0,-79.0,-73.0,-67.0
wlan1,4,4.76,2.74,1.01,1621511731.9513867,-75.0,-55.0,-41.0,-47.0,-43.0,-57.0,-69.0,-81.0,-65.0,-41.0,-41.0,-47.0,-55.0,-61.0,-75.0,-73.0,-69.0
wlan2,0,4.76,2.74,1.01,1621511738.4687865,0.0,-45.0,-27.0,-35.0,-27.0,0.0,0.0,-73.0,0.0,-25.0,-27.0,-35.0,-49.0,0.0,-71.0,-63.0,-55.0
wlan2,1,4.76,2.74,1.01,1621511742.926934,-65.0,-47.0,-29.0,-33.0,-27.0,-45.0,-57.0,-75.0,-61.0,-25.0,-27.0,-35.0,-53.0,0.0,-73.0,-63.0,-55.0
wlan2,2,4.76,2.74,1.01,1621511747.4076533,-65.0,-47.0,-29.0,-33.0,-27.0,-43.0,-57.0,-73.0,-61.0,-25.0,-27.0,-35.0,-49.0,-49.0,-71.0,-63.0,-55.0
wlan2,3,4.76,2.74,1.01,1621511751.8995554,-65.0,-47.0,-29.0,-33.0,-29.0,-43.0,-61.0,-73.0,-61.0,-27.0,-25.0,-35.0,-53.0,-49.0,-73.0,-61.0,-55.0
wlan2,4,4.76,2.74,1.01,1621511756.3859134,-63.0,-45.0,-27.0,-35.0,-27.0,-37.0,-61.0,-77.0,-61.0,-25.0,-25.0,-35.0,-49.0,-47.0,-73.0,-61.0,-57.0
wlan0,0,4.76,3.96,1.01,1621506581.6382413,-61.0,-47.0,-30.0,-38.0,-27.0,0.0,-59.0,-65.0,-56.0,-23.0,-30.0,-32.0,-45.0,-52.0,0.0,-56.0,-49.0
wlan0,1,4.76,3.96,1.01,1621506585.7641413,-63.0,-46.0,-64.0,-36.0,-27.0,-50.0,-59.0,-68.0,-60.0,-22.0,-30.0,-32.0,-44.0,-54.0,-66.0,-55.0,-48.0
wlan0,2,4.76,3.96,1.01,1621506590.0835302,-62.0,-50.0,-61.0,-33.0,-26.0,-47.0,-58.0,-68.0,-62.0,-24.0,-30.0,-33.0,-44.0,-51.0,-47.0,-54.0,-48.0
wlan0,3,4.76,3.96,1.01,1621506594.286803,-61.0,-54.0,-38.0,-34.0,-27.0,-46.0,-58.0,-68.0,-57.0,-23.0,-31.0,-34.0,-43.0,-53.0,-47.0,-56.0,-48.0
wlan0,4,4.76,3.96,1.01,1621506598.4515898,-61.0,-50.0,-30.0,-38.0,-27.0,-47.0,-57.0,-68.0,-57.0,-23.0,-30.0,-34.0,-44.0,-53.0,-47.0,-61.0,-48.0
wlan1,0,4.76,3.96,1.01,1621506604.4075074,-63.0,-55.0,-45.0,-45.0,-41.0,-53.0,-63.0,-71.0,-67.0,-43.0,0.0,-45.0,0.0,-65.0,-73.0,-73.0,0.0
wlan1,1,4.76,3.96,1.01,1621506608.851257,-63.0,-55.0,-43.0,-45.0,-39.0,-51.0,-65.0,-81.0,-69.0,-45.0,0.0,-47.0,-57.0,-65.0,-75.0,-75.0,-63.0
wlan1,2,4.76,3.96,1.01,1621506613.3177788,-63.0,-53.0,-43.0,-47.0,-39.0,-51.0,-65.0,-81.0,-69.0,-43.0,0.0,-47.0,-57.0,-65.0,-75.0,-79.0,-63.0
wlan1,3,4.76,3.96,1.01,1621506617.7823439,-63.0,-55.0,-41.0,-77.0,-39.0,-53.0,-65.0,-79.0,-75.0,-41.0,-43.0,-45.0,-59.0,-63.0,-77.0,-71.0,-63.0
wlan1,4,4.76,3.96,1.01,1621506622.3226464,-69.0,-55.0,-45.0,-47.0,-39.0,-53.0,-67.0,-75.0,-71.0,-43.0,-43.0,-45.0,-59.0,-63.0,-77.0,-69.0,-63.0
wlan2,0,4.76,3.96,1.01,1621506628.9268904,-55.0,-57.0,-29.0,-33.0,-27.0,-47.0,-53.0,-67.0,-57.0,-25.0,-29.0,-33.0,-45.0,-51.0,-69.0,-65.0,-55.0
wlan2,1,4.76,3.96,1.01,1621506633.4284256,-45.0,-47.0,-29.0,-33.0,-25.0,-51.0,-53.0,-75.0,-49.0,-23.0,-31.0,-33.0,-47.0,-45.0,-67.0,-67.0,-51.0
wlan2,2,4.76,3.96,1.01,1621506637.970886,-45.0,-47.0,-29.0,-33.0,-27.0,-53.0,-53.0,-81.0,-53.0,-23.0,-31.0,-33.0,-45.0,-51.0,-69.0,-65.0,-51.0
wlan2,3,4.76,3.96,1.01,1621506642.5975235,-45.0,-49.0,-31.0,-33.0,-27.0,-49.0,-53.0,-81.0,-53.0,-23.0,-31.0,-33.0,-45.0,-43.0,-63.0,-67.0,-51.0
wlan2,4,4.76,3.96,1.01,1621506647.146538,-45.0,-49.0,-31.0,-33.0,-27.0,-51.0,-53.0,-77.0,-59.0,-23.0,-31.0,-33.0,-45.0,-45.0,-67.0,-63.0,-51.0
wlan0,0,4.76,5.18,1.01,1621505784.6914258,-56.0,-43.0,-32.0,-36.0,-32.0,-45.0,-53.0,0.0,-45.0,-35.0,-35.0,-37.0,-44.0,0.0,-64.0,-60.0,-53.0
wlan0,1,4.76,5.18,1.01,1621505788.9413133,-55.0,-45.0,-35.0,-38.0,-32.0,-41.0,-54.0,0.0,-44.0,-40.0,-33.0,-37.0,-44.0,-60.0,-64.0,-61.0,-53.0
wlan0,2,4.76,5.18,1.01,1621505793.2256453,-55.0,-47.0,-33.0,-35.0,-32.0,-43.0,-67.0,0.0,-44.0,-34.0,-39.0,-37.0,-59.0,-60.0,-64.0,-59.0,-53.0
wlan0,3,4.76,5.18,1.01,1621505797.5249875,-53.0,-48.0,-33.0,-39.0,-32.0,-43.0,-55.0,0.0,-44.0,-35.0,-36.0,-37.0,-43.0,-60.0,-66.0,-62.0,-53.0
wlan0,4,4.76,5.18,1.01,1621505801.6757872,-60.0,-47.0,-34.0,-36.0,-32.0,-44.0,-55.0,0.0,-45.0,-36.0,-36.0,-37.0,-43.0,-60.0,-66.0,-61.0,-54.0
wlan1,0,4.76,5.18,1.01,1621505808.2761312,-61.0,-59.0,-43.0,-49.0,-39.0,-57.0,-67.0,-83.0,-57.0,-43.0,-43.0,-49.0,-61.0,-69.0,-85.0,-83.0,-57.0
wlan1,1,4.76,5.18,1.01,1621505812.7742672,-61.0,-53.0,-43.0,-47.0,-39.0,-57.0,-67.0,-81.0,-57.0,-43.0,-43.0,-49.0,-59.0,-71.0,-79.0,-75.0,-57.0
wlan1,2,4.76,5.18,1.01,1621505817.2519042,-61.0,-53.0,-43.0,-49.0,-39.0,-57.0,-69.0,-75.0,-57.0,-43.0,-43.0,-47.0,-59.0,-69.0,-81.0,-83.0,-59.0
wlan1,3,4.76,5.18,1.01,1621505825.9689796,-71.0,-61.0,-43.0,-49.0,-39.0,-57.0,-69.0,-87.0,-57.0,-43.0,-43.0,-47.0,-59.0,-67.0,-83.0,-75.0,-57.0
wlan2,0,4.76,5.18,1.01,1621505832.5431485,-49.0,-59.0,-37.0,-37.0,-31.0,-69.0,-67.0,-73.0,-43.0,-31.0,-37.0,-33.0,-59.0,-57.0,-75.0,-71.0,-49.0
wlan2,1,4.76,5.18,1.01,1621505837.0330396,-49.0,-49.0,-37.0,-37.0,-31.0,-43.0,-67.0,-73.0,-41.0,-31.0,-37.0,-33.0,-61.0,-57.0,-71.0,-67.0,-51.0
wlan2,2,4.76,5.18,1.01,1621505841.5900805,-53.0,-49.0,-37.0,-37.0,-31.0,-45.0,-61.0,-67.0,-41.0,-35.0,-35.0,-37.0,-63.0,-55.0,-73.0,-69.0,-49.0
wlan2,3,4.76,5.18,1.01,1621505846.1195786,-55.0,-49.0,-37.0,-37.0,-31.0,-45.0,-63.0,-71.0,-41.0,-31.0,-37.0,-37.0,-55.0,-57.0,-71.0,-69.0,-51.0
wlan2,4,4.76,5.18,1.01,1621505850.6371436,-57.0,-49.0,-37.0,-37.0,-31.0,-57.0,-63.0,-75.0,-41.0,-33.0,-35.0,-35.0,-55.0,-57.0,-75.0,-71.0,-49.0
wlan0,0,4.76,6.4,1.01,1621503693.5601516,-58.0,-68.0,-30.0,-39.0,-30.0,-39.0,-56.0,0.0,-50.0,-33.0,-33.0,0.0,-38.0,-56.0,0.0,-55.0,-70.0
wlan0,1,4.76,6.4,1.01,1621503697.7213748,-52.0,-53.0,-30.0,-38.0,-31.0,-41.0,-55.0,0.0,-53.0,-36.0,-33.0,-36.0,-38.0,-56.0,-65.0,-66.0,-53.0
wlan0,2,4.76,6.4,1.01,1621503701.8396494,-52.0,-53.0,-28.0,-32.0,-29.0,-48.0,-55.0,0.0,-53.0,-31.0,-33.0,-36.0,-35.0,-56.0,-65.0,-65.0,-57.0
wlan0,3,4.76,6.4,1.01,1621503706.074098,-59.0,-47.0,-28.0,-35.0,-30.0,-43.0,-68.0,0.0,-54.0,-33.0,-28.0,-36.0,-38.0,-52.0,-65.0,-61.0,-57.0
wlan0,4,4.76,6.4,1.01,1621503710.2489913,-59.0,-53.0,-29.0,-32.0,-28.0,-40.0,-68.0,0.0,-54.0,-33.0,-28.0,-32.0,-36.0,-52.0,-65.0,-62.0,-54.0
wlan1,0,4.76,6.4,1.01,1621503716.8500025,-73.0,-53.0,-51.0,0.0,-41.0,-45.0,-67.0,-83.0,0.0,-43.0,0.0,0.0,-53.0,-59.0,0.0,-79.0,-57.0
wlan1,1,4.76,6.4,1.01,1621503725.5450625,-69.0,-65.0,-49.0,-47.0,-41.0,-45.0,-67.0,-89.0,-63.0,-41.0,-61.0,-47.0,-53.0,-61.0,-69.0,-81.0,-61.0
wlan1,2,4.76,6.4,1.01,1621503730.0303962,-67.0,-57.0,-43.0,-47.0,-41.0,-47.0,-65.0,-77.0,-59.0,-43.0,-41.0,-47.0,-53.0,-61.0,-69.0,-81.0,-59.0
wlan1,3,4.76,6.4,1.01,1621503734.5150502,-67.0,-57.0,-43.0,-47.0,-41.0,-47.0,-65.0,-83.0,-57.0,-41.0,-41.0,-47.0,-55.0,-43.0,-81.0,-81.0,-61.0
wlan2,0,4.76,6.4,1.01,1621503741.0995965,-61.0,-41.0,-35.0,-35.0,-37.0,0.0,-61.0,-77.0,-47.0,-33.0,-37.0,-35.0,-47.0,-47.0,0.0,-67.0,-49.0
wlan2,1,4.76,6.4,1.01,1621503745.5888312,-53.0,-49.0,-37.0,-35.0,-31.0,0.0,-61.0,-69.0,-41.0,-31.0,-37.0,-35.0,-47.0,-47.0,0.0,-71.0,-49.0
wlan2,2,4.76,6.4,1.01,1621503750.101706,-53.0,-49.0,-37.0,-35.0,-33.0,0.0,-61.0,-71.0,-45.0,-31.0,-37.0,-35.0,-47.0,-45.0,0.0,-81.0,-49.0
wlan2,3,4.76,6.4,1.01,1621503754.6273494,-61.0,-43.0,-37.0,-35.0,-33.0,-43.0,-61.0,-75.0,-43.0,-31.0,-37.0,-31.0,-45.0,-39.0,0.0,-71.0,-49.0
wlan2,4,4.76,6.4,1.01,1621503759.1837654,-57.0,-49.0,-37.0,-35.0,-33.0,-41.0,-57.0,-75.0,-49.0,-33.0,-37.0,-33.0,-43.0,-45.0,0.0,-71.0,-49.0
wlan0,0,4.76,7.62,1.01,1621502867.3072956,0.0,-46.0,-31.0,-38.0,-33.0,-48.0,-56.0,0.0,-49.0,-32.0,-35.0,0.0,-43.0,0.0,0.0,-55.0,-51.0
wlan0,1,4.76,7.62,1.01,1621502871.4653535,0.0,-45.0,-67.0,-38.0,-26.0,-51.0,-56.0,0.0,-48.0,-30.0,-32.0,-37.0,-41.0,-56.0,0.0,-56.0,-49.0
wlan0,2,4.76,7.62,1.01,1621502875.5885744,0.0,-44.0,-32.0,-37.0,-26.0,-54.0,-56.0,0.0,-48.0,-31.0,-32.0,-37.0,-42.0,-53.0,-69.0,-58.0,-48.0
wlan0,3,4.76,7.62,1.01,1621502879.8082645,-61.0,-45.0,-39.0,-39.0,-27.0,-66.0,-56.0,0.0,-48.0,-31.0,-40.0,-38.0,-49.0,-53.0,-69.0,-54.0,-49.0
wlan0,4,4.76,7.62,1.01,1621502887.9958005,-65.0,-45.0,-32.0,-37.0,-27.0,-49.0,-57.0,0.0,-47.0,-30.0,-31.0,-39.0,-43.0,-57.0,-69.0,-56.0,-50.0
wlan1,0,4.76,7.62,1.01,1621502894.6088312,-71.0,-63.0,-45.0,-45.0,-43.0,-55.0,0.0,-83.0,-55.0,-41.0,-47.0,0.0,-63.0,-59.0,-75.0,-83.0,-55.0
wlan1,1,4.76,7.62,1.01,1621502899.0919802,-61.0,-63.0,-45.0,-45.0,-41.0,-55.0,0.0,-81.0,-59.0,-83.0,-47.0,-45.0,-55.0,-59.0,-75.0,-83.0,-57.0
wlan1,2,4.76,7.62,1.01,1621502903.5923913,-61.0,-63.0,-45.0,-45.0,-43.0,-55.0,0.0,-81.0,-59.0,-43.0,-45.0,-45.0,-57.0,-61.0,-75.0,-83.0,-55.0
wlan1,3,4.76,7.62,1.01,1621502908.082524,-61.0,-53.0,-45.0,-45.0,-41.0,-55.0,0.0,-83.0,-59.0,-43.0,-47.0,-45.0,-57.0,-61.0,-75.0,-81.0,-57.0
wlan1,4,4.76,7.62,1.01,1621502912.5854492,-73.0,-53.0,-47.0,-45.0,-43.0,-55.0,-77.0,-85.0,-59.0,-43.0,-47.0,-45.0,-55.0,-59.0,-73.0,-83.0,-55.0
wlan2,0,4.76,7.62,1.01,1621502919.1798058,0.0,-41.0,-33.0,-39.0,-29.0,-49.0,-59.0,-81.0,-45.0,-37.0,0.0,-37.0,-51.0,0.0,-69.0,-71.0,-47.0
wlan2,1,4.76,7.62,1.01,1621502923.6935616,0.0,-41.0,-33.0,-39.0,-29.0,-47.0,-61.0,-79.0,-45.0,-39.0,-33.0,-39.0,-51.0,0.0,-71.0,-71.0,-45.0
wlan2,2,4.76,7.62,1.01,1621502928.1916149,-69.0,-51.0,-35.0,-39.0,-29.0,-47.0,-59.0,-71.0,-45.0,-43.0,-33.0,-39.0,-51.0,-57.0,-71.0,-69.0,-47.0
wlan2,3,4.76,7.62,1.01,1621502932.6759312,-69.0,-53.0,-35.0,-39.0,-29.0,-49.0,-59.0,-71.0,-45.0,-39.0,-33.0,-39.0,-55.0,-57.0,-69.0,-73.0,-47.0
wlan2,4,4.76,7.62,1.01,1621502937.1822624,-69.0,-55.0,-35.0,-39.0,-29.0,-47.0,-59.0,-71.0,-43.0,-41.0,-33.0,-39.0,-51.0,-55.0,-71.0,-71.0,-47.0
wlan0,0,5.98,1.52,1.01,1621513591.5265393,0.0,-44.0,-28.0,-38.0,-38.0,-45.0,-68.0,0.0,-66.0,-22.0,-35.0,0.0,-49.0,0.0,-71.0,-55.0,-55.0
wlan0,1,5.98,1.52,1.01,1621513595.7124689,0.0,-42.0,-32.0,-68.0,-39.0,-43.0,-68.0,0.0,-69.0,-24.0,-35.0,-32.0,-50.0,0.0,0.0,-52.0,-61.0
wlan0,2,5.98,1.52,1.01,1621513599.951522,0.0,-43.0,-38.0,-32.0,-39.0,-44.0,-58.0,0.0,-66.0,-19.0,-35.0,-36.0,-49.0,0.0,-74.0,-51.0,-58.0
wlan0,3,5.98,1.52,1.01,1621513604.1490376,-61.0,-41.0,-34.0,-31.0,-39.0,-46.0,-55.0,0.0,-62.0,-21.0,-37.0,-72.0,-50.0,-66.0,-74.0,-73.0,-57.0
wlan0,4,5.98,1.52,1.01,1621513608.4166806,-61.0,-42.0,-32.0,-29.0,-34.0,-68.0,-57.0,-74.0,-64.0,-21.0,-37.0,-72.0,-53.0,-66.0,-74.0,-53.0,-64.0
wlan1,0,5.98,1.52,1.01,1621513615.0010822,-73.0,-57.0,-39.0,-47.0,-43.0,0.0,-75.0,-91.0,-75.0,-33.0,-39.0,0.0,-53.0,-71.0,-79.0,-63.0,-61.0
wlan1,1,5.98,1.52,1.01,1621513619.4614947,-65.0,-57.0,-39.0,-47.0,-45.0,0.0,-75.0,-83.0,-69.0,-31.0,-39.0,-45.0,-51.0,-71.0,-83.0,-71.0,-63.0
wlan1,2,5.98,1.52,1.01,1621513628.2567234,-71.0,-57.0,-35.0,-45.0,-45.0,-51.0,-75.0,-81.0,-67.0,-33.0,-39.0,-45.0,-51.0,-71.0,-85.0,-67.0,-63.0
wlan1,3,5.98,1.52,1.01,1621513632.7546976,-69.0,-59.0,-41.0,-47.0,-45.0,-53.0,-75.0,-83.0,-65.0,-31.0,-39.0,-45.0,-53.0,-71.0,-87.0,-61.0,-61.0
wlan2,0,5.98,1.52,1.01,1621513639.3149161,-77.0,-41.0,-31.0,-31.0,-29.0,-45.0,-61.0,-79.0,-49.0,-23.0,0.0,-31.0,-53.0,-59.0,-81.0,-61.0,-51.0
wlan2,1,5.98,1.52,1.01,1621513643.805968,-75.0,-43.0,-29.0,-31.0,-29.0,-45.0,-61.0,-79.0,-49.0,-23.0,-31.0,-31.0,-61.0,-59.0,-79.0,-65.0,-51.0
wlan2,2,5.98,1.52,1.01,1621513648.307009,-75.0,-41.0,-29.0,-29.0,-29.0,-49.0,-61.0,-69.0,-41.0,-25.0,-31.0,-31.0,-51.0,-59.0,-75.0,-61.0,-51.0
wlan2,3,5.98,1.52,1.01,1621513652.8003492,-63.0,-45.0,-29.0,-31.0,-29.0,-47.0,-67.0,-81.0,-73.0,-23.0,-31.0,-31.0,-53.0,-55.0,-65.0,-65.0,-55.0
wlan2,4,5.98,1.52,1.01,1621513657.3294554,-57.0,-43.0,-29.0,-31.0,-29.0,-41.0,-65.0,-79.0,-41.0,-25.0,-31.0,-31.0,-53.0,-57.0,-77.0,-61.0,-55.0
wlan0,0,5.98,2.74,1.01,1621511799.7662034,-60.0,-47.0,-39.0,-33.0,-31.0,-40.0,-58.0,-70.0,-59.0,-30.0,-40.0,0.0,-43.0,-61.0,-64.0,-50.0,-55.0
wlan0,1,5.98,2.74,1.01,1621511804.0187914,-56.0,-47.0,-36.0,-29.0,-37.0,-41.0,-51.0,-70.0,-59.0,-39.0,-35.0,-67.0,-43.0,-61.0,-67.0,-49.0,-58.0
wlan0,2,5.98,2.74,1.01,1621511808.316899,-57.0,-47.0,-63.0,-30.0,-31.0,-41.0,-51.0,-70.0,-59.0,-30.0,-38.0,-67.0,-46.0,-67.0,-67.0,-56.0,-58.0
wlan0,3,5.98,2.74,1.01,1621511812.5436912,-55.0,-47.0,-40.0,-31.0,-31.0,-41.0,-56.0,-68.0,-60.0,-36.0,-41.0,-67.0,-50.0,-67.0,-67.0,-57.0,-48.0
wlan0,4,5.98,2.74,1.01,1621511816.7189734,-55.0,-45.0,-37.0,-66.0,-30.0,-42.0,-58.0,-70.0,-56.0,-30.0,-41.0,-29.0,-53.0,-60.0,-67.0,-50.0,-48.0
wlan1,0,5.98,2.74,1.01,1621511827.5307019,-69.0,-53.0,-43.0,-41.0,-39.0,-51.0,0.0,-79.0,-59.0,-39.0,-87.0,0.0,-67.0,-57.0,-87.0,-69.0,0.0
wlan1,1,5.98,2.74,1.01,1621511832.001601,-69.0,-63.0,-43.0,-41.0,-39.0,-51.0,0.0,-81.0,-65.0,-39.0,-87.0,-45.0,-69.0,-61.0,-81.0,-65.0,-73.0
wlan1,2,5.98,2.74,1.01,1621511836.453986,-69.0,-53.0,-45.0,-41.0,-41.0,-51.0,0.0,-85.0,-65.0,-41.0,-87.0,-41.0,-69.0,-63.0,-85.0,-69.0,-73.0
wlan1,3,5.98,2.74,1.01,1621511840.9197295,-65.0,-63.0,-43.0,-43.0,-41.0,-49.0,0.0,-83.0,-65.0,-41.0,-87.0,-41.0,-65.0,-63.0,-83.0,-65.0,-77.0
wlan2,0,5.98,2.74,1.01,1621511847.4913864,-69.0,-41.0,-35.0,-31.0,-29.0,-41.0,-69.0,-73.0,-45.0,-29.0,-35.0,-87.0,-57.0,-51.0,-71.0,-61.0,-57.0
wlan2,1,5.98,2.74,1.01,1621511851.9843328,0.0,-43.0,-37.0,-31.0,-29.0,-43.0,-65.0,-85.0,-57.0,-27.0,-35.0,-87.0,-55.0,-53.0,-73.0,-63.0,-57.0
wlan2,2,5.98,2.74,1.01,1621511856.4869525,-65.0,-43.0,-37.0,-31.0,-31.0,-41.0,-65.0,-71.0,-57.0,-29.0,-35.0,-31.0,-57.0,-53.0,-73.0,-57.0,-59.0
wlan2,3,5.98,2.74,1.01,1621511860.9936552,-69.0,-43.0,-39.0,-33.0,-29.0,-41.0,-65.0,-71.0,-55.0,-29.0,-35.0,-33.0,-57.0,-55.0,-67.0,-63.0,-59.0
wlan2,4,5.98,2.74,1.01,1621511865.5444875,-69.0,-45.0,-39.0,-31.0,-29.0,-41.0,-65.0,-71.0,-59.0,-29.0,-37.0,-33.0,-57.0,-53.0,-73.0,-65.0,-59.0
wlan0,0,5.98,3.96,1.01,1621506700.3095102,-63.0,-45.0,-25.0,-31.0,-29.0,-49.0,-53.0,0.0,0.0,-28.0,-61.0,0.0,-45.0,0.0,0.0,-59.0,0.0
wlan0,1,5.98,3.96,1.01,1621506704.5386539,-61.0,-45.0,-27.0,-33.0,-30.0,-45.0,-52.0,0.0,0.0,-37.0,-32.0,-39.0,-49.0,0.0,0.0,-67.0,-53.0
wlan0,2,5.98,3.96,1.01,1621506708.7394874,-61.0,-45.0,-31.0,-33.0,-30.0,-48.0,-54.0,-69.0,-57.0,-28.0,-53.0,-32.0,-46.0,0.0,-68.0,-66.0,-49.0
wlan0,3,5.98,3.96,1.01,1621506713.0725858,-62.0,-46.0,-30.0,-33.0,-30.0,-45.0,-54.0,-69.0,-60.0,-28.0,-33.0,-32.0,-50.0,-60.0,-68.0,-64.0,-50.0
wlan0,4,5.98,3.96,1.01,1621506717.3573995,-62.0,-48.0,-28.0,-33.0,-31.0,-49.0,-51.0,-66.0,-61.0,-30.0,-33.0,-33.0,-49.0,-60.0,-67.0,-64.0,-50.0
wlan1,0,5.98,3.96,1.01,1621506724.453862,-65.0,-61.0,-41.0,-43.0,0.0,-51.0,-65.0,-83.0,-67.0,-43.0,0.0,-43.0,-63.0,-59.0,-75.0,-75.0,0.0
wlan1,1,5.98,3.96,1.01,1621506729.0961301,-63.0,-55.0,-41.0,-43.0,-39.0,-53.0,-65.0,-85.0,-63.0,-43.0,-41.0,-43.0,-59.0,-59.0,-73.0,-77.0,-73.0
wlan1,2,5.98,3.96,1.01,1621506733.6892354,-69.0,-59.0,-41.0,-43.0,-41.0,-53.0,-65.0,-81.0,-63.0,-41.0,-41.0,-43.0,-61.0,-59.0,-73.0,-69.0,-73.0
wlan1,3,5.98,3.96,1.01,1621506738.209941,-63.0,-61.0,-41.0,-43.0,-39.0,-57.0,-67.0,-81.0,-69.0,-43.0,-41.0,-43.0,-61.0,-61.0,-73.0,-69.0,-73.0
wlan1,4,5.98,3.96,1.01,1621506742.7404554,-63.0,-61.0,-41.0,-41.0,-41.0,-57.0,-65.0,-85.0,-65.0,-43.0,-41.0,-43.0,-59.0,-59.0,-75.0,-75.0,-73.0
wlan2,0,5.98,3.96,1.01,1621506751.0058038,-59.0,-51.0,-25.0,0.0,-29.0,-47.0,-59.0,-65.0,-49.0,-29.0,-25.0,-37.0,-49.0,-51.0,-71.0,-69.0,-61.0
wlan2,1,5.98,3.96,1.01,1621506755.5693815,-59.0,-43.0,0.0,0.0,-29.0,-51.0,-57.0,-75.0,-51.0,-31.0,-23.0,0.0,-47.0,-51.0,-67.0,-67.0,-61.0
wlan2,2,5.98,3.96,1.01,1621506760.231163,-59.0,-43.0,-25.0,0.0,-29.0,-45.0,-57.0,-63.0,-49.0,-31.0,-23.0,-35.0,-49.0,-57.0,-69.0,-67.0,-57.0
wlan2,3,5.98,3.96,1.01,1621506764.846858,-65.0,-45.0,-25.0,-35.0,-29.0,-45.0,-57.0,-75.0,-49.0,-31.0,-25.0,-35.0,-49.0,-49.0,-67.0,-69.0,-57.0
wlan2,4,5.98,3.96,1.01,1621506769.5178266,-61.0,-47.0,-23.0,-35.0,-29.0,-45.0,-59.0,-83.0,-57.0,-29.0,-25.0,-35.0,-47.0,-51.0,-69.0,-67.0,-57.0
wlan0,0,5.98,5.18,1.01,1621505669.7700725,-52.0,-43.0,-69.0,-38.0,-25.0,-62.0,-63.0,0.0,-61.0,-33.0,0.0,-37.0,-53.0,0.0,-68.0,-64.0,-53.0
wlan0,1,5.98,5.18,1.01,1621505673.910127,-61.0,-48.0,-26.0,-38.0,-26.0,-40.0,-63.0,-70.0,-61.0,-30.0,-26.0,-37.0,-53.0,-61.0,-68.0,-57.0,-52.0
wlan0,2,5.98,5.18,1.01,1621505678.1843414,-63.0,-41.0,-27.0,-38.0,-25.0,-41.0,-58.0,-71.0,-61.0,-31.0,-29.0,-41.0,-42.0,-61.0,-68.0,-72.0,-50.0
wlan0,3,5.98,5.18,1.01,1621505682.3599398,-59.0,-40.0,-27.0,-37.0,-26.0,-45.0,-67.0,-68.0,-60.0,-30.0,-62.0,-41.0,-56.0,-61.0,-68.0,-63.0,-50.0
wlan0,4,5.98,5.18,1.01,1621505686.6185784,-59.0,-43.0,-55.0,-38.0,-26.0,-39.0,-67.0,-68.0,-60.0,-31.0,-27.0,-41.0,-54.0,-60.0,-68.0,-59.0,-51.0
wlan1,0,5.98,5.18,1.01,1621505693.1856208,-77.0,-51.0,-43.0,-45.0,-39.0,-57.0,0.0,-89.0,-65.0,-43.0,-43.0,-47.0,-55.0,-63.0,-75.0,-67.0,-59.0
wlan1,1,5.98,5.18,1.01,1621505697.6064074,-77.0,-51.0,-41.0,-45.0,-39.0,-57.0,0.0,-89.0,-65.0,-43.0,-43.0,-47.0,-55.0,-63.0,-75.0,-69.0,-59.0
wlan1,2,5.98,5.18,1.01,1621505706.3800304,-71.0,-51.0,-43.0,-57.0,-39.0,-57.0,-69.0,-87.0,-65.0,-43.0,-43.0,-45.0,-55.0,-61.0,-77.0,-69.0,-61.0
wlan1,3,5.98,5.18,1.01,1621505710.8681483,-73.0,-51.0,-43.0,-57.0,-39.0,-55.0,-69.0,-85.0,-65.0,-43.0,-43.0,-45.0,-55.0,-63.0,-75.0,-71.0,-59.0
wlan2,0,5.98,5.18,1.01,1621505717.4461453,0.0,-41.0,-25.0,-37.0,-33.0,-43.0,-63.0,-73.0,-45.0,-29.0,0.0,-35.0,-47.0,-55.0,-73.0,-71.0,-55.0
wlan2,1,5.98,5.18,1.01,1621505721.9224873,-59.0,-41.0,-25.0,-35.0,-31.0,-41.0,-63.0,-63.0,-45.0,-29.0,-25.0,-35.0,-47.0,-49.0,-73.0,-67.0,-51.0
wlan2,2,5.98,5.18,1.01,1621505726.4417934,-59.0,-43.0,-25.0,-37.0,-31.0,-45.0,-59.0,-71.0,-47.0,-29.0,-25.0,-35.0,-47.0,-57.0,-71.0,-65.0,-53.0
wlan2,3,5.98,5.18,1.01,1621505730.9548078,-71.0,-43.0,-25.0,-35.0,-31.0,-43.0,-63.0,-71.0,-47.0,-27.0,-25.0,-35.0,-49.0,-55.0,-61.0,-67.0,-51.0
